depth=0, S_A=-0.0, chi=2 
depth=1, S_A=1.4415419267167124e-15, chi=2 
depth=2, S_A=1.0, chi=2 
depth=3, S_A=0.82837889563295, chi=2 
depth=4, S_A=0.9999999968508666, chi=2 
depth=5, S_A=0.926270936333824, chi=2 
depth=6, S_A=0.9600093541233564, chi=2 
depth=7, S_A=0.8516988862386217, chi=2 
depth=8, S_A=0.9342988318027564, chi=2 
depth=9, S_A=0.9663276508681733, chi=2 
depth=10, S_A=0.9620523204134324, chi=2 
depth=11, S_A=0.9317836483821715, chi=2 
depth=12, S_A=0.9146786951473356, chi=2 
depth=13, S_A=0.8799476768608561, chi=2 
depth=14, S_A=0.9457049449672892, chi=2 
depth=0, S_A=-0.0, chi=4 
depth=1, S_A=1.4415419267167124e-15, chi=4 
depth=2, S_A=1.0, chi=4 
depth=3, S_A=2.0, chi=4 
depth=4, S_A=2.0, chi=4 
depth=5, S_A=1.8753364056488127, chi=4 
depth=6, S_A=1.8704276848941292, chi=4 
depth=7, S_A=1.6454189816095939, chi=4 
depth=8, S_A=1.7786199778432201, chi=4 
depth=9, S_A=1.7153452386823627, chi=4 
depth=10, S_A=1.7186633965012896, chi=4 
depth=11, S_A=1.8785515784391387, chi=4 
depth=12, S_A=1.8054943934619425, chi=4 
depth=13, S_A=1.8183639600173156, chi=4 
depth=14, S_A=1.7965901692197284, chi=4 
depth=0, S_A=-0.0, chi=8 
depth=1, S_A=1.4415419267167124e-15, chi=8 
depth=2, S_A=1.0, chi=8 
depth=3, S_A=2.0, chi=8 
depth=4, S_A=3.0, chi=8 
depth=5, S_A=2.5880361691472986, chi=8 
depth=6, S_A=2.493750025154613, chi=8 
depth=7, S_A=2.394433090773748, chi=8 
depth=8, S_A=2.3843573825371545, chi=8 
depth=9, S_A=2.3266645588880865, chi=8 
depth=10, S_A=2.3945228154328055, chi=8 
depth=11, S_A=2.1517623339387395, chi=8 
depth=12, S_A=2.152945486154629, chi=8 
depth=13, S_A=2.3319108166075306, chi=8 
depth=14, S_A=2.287013180166363, chi=8 
depth=0, S_A=-0.0, chi=16 
depth=1, S_A=1.4415419267167124e-15, chi=16 
depth=2, S_A=1.0, chi=16 
depth=3, S_A=2.0, chi=16 
depth=4, S_A=3.0, chi=16 
depth=5, S_A=2.5880361691472986, chi=16 
depth=6, S_A=2.493750025154613, chi=16 
depth=7, S_A=2.394433090773748, chi=16 
depth=8, S_A=2.3843573825371545, chi=16 
depth=9, S_A=2.3266645588880865, chi=16 
depth=10, S_A=2.3945228154328055, chi=16 
depth=11, S_A=2.1517623339387395, chi=16 
depth=12, S_A=2.152945486154629, chi=16 
depth=13, S_A=2.3319108166075306, chi=16 
depth=14, S_A=2.287013180166363, chi=16 
depth=0, S_A=-0.0, chi=32 
depth=1, S_A=1.4415419267167124e-15, chi=32 
depth=2, S_A=1.0, chi=32 
depth=3, S_A=2.0, chi=32 
depth=4, S_A=3.0, chi=32 
depth=5, S_A=2.5880361691472986, chi=32 
depth=6, S_A=2.493750025154613, chi=32 
depth=7, S_A=2.394433090773748, chi=32 
depth=8, S_A=2.3843573825371545, chi=32 
depth=9, S_A=2.3266645588880865, chi=32 
depth=10, S_A=2.3945228154328055, chi=32 
depth=11, S_A=2.1517623339387395, chi=32 
depth=12, S_A=2.152945486154629, chi=32 
depth=13, S_A=2.3319108166075306, chi=32 
depth=14, S_A=2.287013180166363, chi=32 
depth=0, S_A=-0.0, chi=64 
depth=1, S_A=1.4415419267167124e-15, chi=64 
depth=2, S_A=1.0, chi=64 
depth=3, S_A=2.0, chi=64 
depth=4, S_A=3.0, chi=64 
depth=5, S_A=2.5880361691472986, chi=64 
depth=6, S_A=2.493750025154613, chi=64 
depth=7, S_A=2.3944330907737483, chi=64 
depth=8, S_A=2.3843573825371545, chi=64 
depth=9, S_A=2.3266645588880865, chi=64 
depth=10, S_A=2.3945228154328055, chi=64 
depth=11, S_A=2.1517623339387395, chi=64 
depth=12, S_A=2.152945486154629, chi=64 
depth=13, S_A=2.3319108166075306, chi=64 
depth=14, S_A=2.287013180166363, chi=64 
